Rank 2019,City,State,Estimate 2019,Census 2010,Change,2016 land area [sq mi],2016 land area [km2],2016 population density [sq mi],2016 population density [km2],Location
1,New York City[d], New York,"8,336,817","8,175,133",1.98%,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",40.6635°N 73.9387°W
2,Los Angeles, California,"3,979,576","3,792,621",4.93%,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",34.0194°N 118.4108°W
3,Chicago, Illinois,"2,693,976","2,695,598",−0.06%,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",41.8376°N 87.6818°W
4,Houston[3], Texas,"2,320,268","2,100,263",10.48%,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",29.7866°N 95.3909°W
5,Phoenix, Arizona,"1,680,992","1,445,632",16.28%,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",33.5722°N 112.0901°W
6,Philadelphia[e], Pennsylvania,"1,584,064","1,526,006",3.80%,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",40.0094°N 75.1333°W
7,San Antonio, Texas,"1,547,253","1,327,407",16.56%,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",29.4724°N 98.5251°W
8,San Diego, California,"1,423,851","1,307,402",8.91%,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",32.8153°N 117.1350°W
9,Dallas, Texas,"1,343,573","1,197,816",12.17%,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",32.7933°N 96.7665°W
10,San Jose, California,"1,021,795","945,942",8.02%,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",37.2967°N 121.8189°W
