VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPassengersideNotes,SideCrashPicture,SideCrashVideo,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,SidePoleCrashRating,SidePolePicture,SidePoleVideo,ComplaintsCount,RecallsCount,InvestigationCount,ModelYear,Make,Model,VehicleDescription,VehicleId,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,FrontCrashDriversideNotes,SideCrashDriversideNotes,SidePoleNotes,SideCrashPassengersideSafetyConcern,FrontCrashPassengersideNotes,SideCrashDriversideSafetyConcern,NHTSARearviewVideoSystems,FrontCrashDriversideSafetyConcern,NHTSAElectronicStabilityControl,RolloverNotes,SidePoleSafetyConcern,FrontPassengersideSafetyConcern,_BATCH_ID_,_BATCH_LAST_RUN_
http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09166P086.jpg,5,5,5,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09166P085.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09166C016.wmv,5,5,5,"Although not included in the star rating, the rear passenger's abdominal rib deflection was elevated. ",http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09168P001.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09168C011.wmv,5,Not Rated,0.097,0.0,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09167P072.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09167C012.wmv,0,0,0,2019,ACURA,RLX,2019 Acura RLX 4 DR FWD,13009,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09068P086.jpg,5,5,5,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09068P085.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09068C016.wmv,5,5,5,,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09067P105.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09067C012.wmv,5,Not Rated,0.098,0.0,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09066P073.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09066C012.wmv,0,0,0,2019,ACURA,TLX,2019 Acura TLX 4 DR AWD,13012,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09068P086.jpg,5,5,5,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09068P085.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09068C016.wmv,5,5,5,,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09067P105.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09067C012.wmv,5,Not Rated,0.098,0.0,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09066P073.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09066C012.wmv,0,0,0,2019,ACURA,TLX,2019 Acura TLX 4 DR FWD,13011,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09801P080.jpg,5,4,4,4,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09801P081.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09801C018.wmv,5,5,5,,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09819P104.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09819C014.wmv,4,Not Rated,0.111,0.0,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09803P072.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09803C014.wmv,0,0,0,2019,BUICK,CASCADA,2019 Buick Cascada C FWD,13017,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v08212P087.jpg,5,5,5,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v08212P086.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v08212C016.wmv,5,5,5,,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09056P106.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09056C012.wmv,4,Not Rated,0.179,0.0,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09055P073.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09055C012.wmv,0,0,0,2019,BUICK,ENCORE,2019 Buick Encore SUV AWD,13019,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v08212P087.jpg,5,5,5,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v08212P086.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v08212C016.wmv,5,5,5,,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09056P106.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09056C012.wmv,4,Not Rated,0.198,0.0,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09055P073.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09055C012.wmv,0,0,0,2019,BUICK,ENCORE,2019 Buick Encore SUV FWD,13018,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09961P081.jpg,5,4,4,4,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09961P080.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09961C018.wmv,5,5,5,,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09962P104.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09962C014.wmv,4,Not Rated,0.159,0.0,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09963P072.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09963C014.wmv,0,0,0,2019,BUICK,ENVISION,2019 Buick Envision SUV AWD,13021,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09961P081.jpg,Not Rated,4,4,4,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09961P080.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09961C018.wmv,5,5,5,,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09962P104.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09962C014.wmv,Not Rated,Not Rated,0.159,0.0,5,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/images/2019/v09963P072.jpg,http://www.safercar.gov/staticfiles/DOT/safercar/ncapmedia/movies/2019/v09963C014.wmv,0,0,0,2019,BUICK,ENVISION,2019 Buick Envision SUV FWD,13020,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
,5,5,5,5,,,5,5,5,,,,4,Not Rated,0.179,0.0,5,,,0,0,0,2019,CHEVROLET,TRAX,2019 Chevrolet Trax SUV AWD,13023,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
,5,5,5,5,,,5,5,5,,,,4,Not Rated,0.198,0.0,5,,,0,0,0,2019,CHEVROLET,TRAX,2019 Chevrolet Trax SUV FWD,13022,,,,,,,,,,,,,,,1.0,2020-12-12 23:03:37
